cpu_profile,cpu_profile_scaling_threshold,memory_profile,memory_profile_scaling_threshold,replicas_profile,cpu_search,cpu_search_scaling_threshold,memory_search,memory_search_scaling_threshold,replicas_search,cpu_frontend,cpu_frontend_scaling_threshold,memory_frontend,memory_frontend_scaling_threshold,replicas_frontend,cpu_user,cpu_user_scaling_threshold,memory_user,memory_user_scaling_threshold,replicas_user,cpu_reservation,cpu_reservation_scaling_threshold,memory_reservation,memory_reservation_scaling_threshold,replicas_reservation,cpu_memcached-reserve,cpu_memcached-reserve_scaling_threshold,memory_memcached-reserve,memory_memcached-reserve_scaling_threshold,replicas_memcached-reserve,cpu_rate,cpu_rate_scaling_threshold,memory_rate,memory_rate_scaling_threshold,replicas_rate,cpu_memcached-profile,cpu_memcached-profile_scaling_threshold,memory_memcached-profile,memory_memcached-profile_scaling_threshold,replicas_memcached-profile,cpu_consul,cpu_consul_scaling_threshold,memory_consul,memory_consul_scaling_threshold,replicas_consul,cpu_jaeger,cpu_jaeger_scaling_threshold,memory_jaeger,memory_jaeger_scaling_threshold,replicas_jaeger,cpu_geo,cpu_geo_scaling_threshold,memory_geo,memory_geo_scaling_threshold,replicas_geo,cpu_memcached-rate,cpu_memcached-rate_scaling_threshold,memory_memcached-rate,memory_memcached-rate_scaling_threshold,replicas_memcached-rate,cpu_recommendation,cpu_recommendation_scaling_threshold,memory_recommendation,memory_recommendation_scaling_threshold,replicas_recommendation,time,total_rps," ('/recommendations','GET')_rps","('/recommendations','GET')_p95","('/recommendations','GET')_p99","('/recommendations','GET')_avg"," ('/user','POST')_rps","('/user','POST')_p95","('/user','POST')_p99","('/user','POST')_avg"," ('/hotels','GET')_rps","('/hotels','GET')_p95","('/hotels','GET')_p99","('/hotels','GET')_avg"," ('/reservation','POST')_rps","('/reservation','POST')_p95","('/reservation','POST')_p99","('/reservation','POST')_avg"
49.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,33.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,48.0,50.0,8.0,50.0,6.0,28.0,50.0,3.0,50.0,1.0,44.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,37.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,42.0,50.0,8.0,50.0,2.0,3m47s,1993.9,763.5,10242.9,10331.7,7491.6,10.8,10261.6,10332.6,7456.0,1209.1,10243.0,10331.7,7516.4,10.5,10251.7,10332.0,7542.8
49.0,50.0,10.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,33.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,48.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,37.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,42.0,50.0,7.0,50.0,2.0,4m2s,1980.6,769.5,10329.9,10390.7,7739.7,8.5,10328.7,10393.0,7672.6,1193.0,10329.9,10391.0,7763.4,9.7,10331.9,10389.2,7789.2
48.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,33.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,42.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,38.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,4m17s,1973.6,767.1,10480.5,10572.5,7961.8,10.1,10484.5,10575.6,7908.2,1187.2,10481.6,10572.9,7984.3,9.1,10478.7,10555.2,7998.3
48.0,50.0,10.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,33.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,38.0,50.0,2.0,0.0,50.0,6.0,50.0,1.0,40.0,50.0,26.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,4m32s,1972.2,760.9,10630.7,10738.6,8161.5,8.9,10631.8,10735.2,8096.7,1192.3,10631.7,10739.5,8185.1,10.1,10634.8,10766.1,8208.6
48.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,47.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,42.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,38.0,50.0,2.0,0.0,50.0,5.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,41.0,50.0,8.0,50.0,2.0,4m48s,1910.3,747.5,10821.7,11477.1,8356.0,9.9,10799.3,11476.9,8302.7,1143.0,10821.2,11477.4,8376.3,9.9,10818.7,11473.5,8407.5
48.0,50.0,10.0,50.0,6.0,46.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,3.0,50.0,6.0,50.0,1.0,48.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,42.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,5.0,50.0,1.0,39.0,50.0,25.0,50.0,6.0,16.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,5m3s,2011.9,783.2,11442.8,11531.3,8561.4,9.0,11434.4,11533.5,8492.2,1210.3,11442.9,11531.3,8580.6,9.4,11435.8,11527.6,8601.2
49.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,42.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,5.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,5m18s,1978.6,767.6,11485.5,11549.5,8740.1,7.7,11482.7,11550.8,8638.3,1193.3,11485.3,11550.8,8759.2,10.0,11486.3,11547.1,8785.0
49.0,50.0,10.0,50.0,6.0,47.0,50.0,31.0,50.0,10.0,50.0,50.0,35.0,50.0,4.0,4.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,5.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,44.0,50.0,8.0,50.0,2.0,5m33s,2002.9,785.8,11533.5,11581.8,8903.9,9.1,11533.9,11616.1,8797.1,1198.8,11533.4,11581.9,8920.0,9.2,11530.5,11577.1,8935.6
49.0,50.0,10.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,35.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,29.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,20.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,5.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,42.0,50.0,8.0,50.0,2.0,5m48s,1983.4,773.5,11569.5,11635.2,9050.2,9.8,11572.7,11637.9,8951.8,1191.1,11569.1,11635.2,9065.0,9.0,11564.1,11634.3,9071.2
48.0,50.0,11.0,50.0,6.0,48.0,50.0,31.0,50.0,10.0,50.0,50.0,34.0,50.0,4.0,3.0,50.0,5.0,50.0,1.0,49.0,50.0,8.0,50.0,6.0,30.0,50.0,3.0,50.0,1.0,43.0,50.0,19.0,50.0,6.0,19.0,50.0,4.0,50.0,1.0,3.0,50.0,34.0,50.0,2.0,0.0,50.0,5.0,50.0,1.0,40.0,50.0,25.0,50.0,6.0,17.0,50.0,3.0,50.0,1.0,43.0,50.0,8.0,50.0,2.0,6m3s,2020.7,794.8,11584.9,11644.8,9184.8,9.0,11585.7,11667.5,9079.6,1207.4,11584.5,11645.6,9196.8,9.5,11579.9,11643.3,9199.8
