total_rps:1980.6; ('/recommendations','GET')_rps:769.5;('/recommendations','GET')_p95:10329.9;('/recommendations','GET')_p99:10390.7;('/recommendations','GET')_avg:7739.7; ('/user','POST')_rps:8.5;('/user','POST')_p95:10328.7;('/user','POST')_p99:10393.0;('/user','POST')_avg:7672.6; ('/hotels','GET')_rps:1193.0;('/hotels','GET')_p95:10329.9;('/hotels','GET')_p99:10391.0;('/hotels','GET')_avg:7763.4; ('/reservation','POST')_rps:9.7;('/reservation','POST')_p95:10331.9;('/reservation','POST')_p99:10389.2;('/reservation','POST')_avg:7789.2
total_rps:1973.6; ('/recommendations','GET')_rps:767.1;('/recommendations','GET')_p95:10480.5;('/recommendations','GET')_p99:10572.5;('/recommendations','GET')_avg:7961.8; ('/user','POST')_rps:10.1;('/user','POST')_p95:10484.5;('/user','POST')_p99:10575.6;('/user','POST')_avg:7908.2; ('/hotels','GET')_rps:1187.2;('/hotels','GET')_p95:10481.6;('/hotels','GET')_p99:10572.9;('/hotels','GET')_avg:7984.3; ('/reservation','POST')_rps:9.1;('/reservation','POST')_p95:10478.7;('/reservation','POST')_p99:10555.2;('/reservation','POST')_avg:7998.3
total_rps:1972.2; ('/recommendations','GET')_rps:760.9;('/recommendations','GET')_p95:10630.7;('/recommendations','GET')_p99:10738.6;('/recommendations','GET')_avg:8161.5; ('/user','POST')_rps:8.9;('/user','POST')_p95:10631.8;('/user','POST')_p99:10735.2;('/user','POST')_avg:8096.7; ('/hotels','GET')_rps:1192.3;('/hotels','GET')_p95:10631.7;('/hotels','GET')_p99:10739.5;('/hotels','GET')_avg:8185.1; ('/reservation','POST')_rps:10.1;('/reservation','POST')_p95:10634.8;('/reservation','POST')_p99:10766.1;('/reservation','POST')_avg:8208.6
total_rps:1910.3; ('/recommendations','GET')_rps:747.5;('/recommendations','GET')_p95:10821.7;('/recommendations','GET')_p99:11477.1;('/recommendations','GET')_avg:8356.0; ('/user','POST')_rps:9.9;('/user','POST')_p95:10799.3;('/user','POST')_p99:11476.9;('/user','POST')_avg:8302.7; ('/hotels','GET')_rps:1143.0;('/hotels','GET')_p95:10821.2;('/hotels','GET')_p99:11477.4;('/hotels','GET')_avg:8376.3; ('/reservation','POST')_rps:9.9;('/reservation','POST')_p95:10818.7;('/reservation','POST')_p99:11473.5;('/reservation','POST')_avg:8407.5
total_rps:2011.9; ('/recommendations','GET')_rps:783.2;('/recommendations','GET')_p95:11442.8;('/recommendations','GET')_p99:11531.3;('/recommendations','GET')_avg:8561.4; ('/user','POST')_rps:9.0;('/user','POST')_p95:11434.4;('/user','POST')_p99:11533.5;('/user','POST')_avg:8492.2; ('/hotels','GET')_rps:1210.3;('/hotels','GET')_p95:11442.9;('/hotels','GET')_p99:11531.3;('/hotels','GET')_avg:8580.6; ('/reservation','POST')_rps:9.4;('/reservation','POST')_p95:11435.8;('/reservation','POST')_p99:11527.6;('/reservation','POST')_avg:8601.2
total_rps:1978.6; ('/recommendations','GET')_rps:767.6;('/recommendations','GET')_p95:11485.5;('/recommendations','GET')_p99:11549.5;('/recommendations','GET')_avg:8740.1; ('/user','POST')_rps:7.7;('/user','POST')_p95:11482.7;('/user','POST')_p99:11550.8;('/user','POST')_avg:8638.3; ('/hotels','GET')_rps:1193.3;('/hotels','GET')_p95:11485.3;('/hotels','GET')_p99:11550.8;('/hotels','GET')_avg:8759.2; ('/reservation','POST')_rps:10.0;('/reservation','POST')_p95:11486.3;('/reservation','POST')_p99:11547.1;('/reservation','POST')_avg:8785.0
total_rps:2002.9; ('/recommendations','GET')_rps:785.8;('/recommendations','GET')_p95:11533.5;('/recommendations','GET')_p99:11581.8;('/recommendations','GET')_avg:8903.9; ('/user','POST')_rps:9.1;('/user','POST')_p95:11533.9;('/user','POST')_p99:11616.1;('/user','POST')_avg:8797.1; ('/hotels','GET')_rps:1198.8;('/hotels','GET')_p95:11533.4;('/hotels','GET')_p99:11581.9;('/hotels','GET')_avg:8920.0; ('/reservation','POST')_rps:9.2;('/reservation','POST')_p95:11530.5;('/reservation','POST')_p99:11577.1;('/reservation','POST')_avg:8935.6
total_rps:1983.4; ('/recommendations','GET')_rps:773.5;('/recommendations','GET')_p95:11569.5;('/recommendations','GET')_p99:11635.2;('/recommendations','GET')_avg:9050.2; ('/user','POST')_rps:9.8;('/user','POST')_p95:11572.7;('/user','POST')_p99:11637.9;('/user','POST')_avg:8951.8; ('/hotels','GET')_rps:1191.1;('/hotels','GET')_p95:11569.1;('/hotels','GET')_p99:11635.2;('/hotels','GET')_avg:9065.0; ('/reservation','POST')_rps:9.0;('/reservation','POST')_p95:11564.1;('/reservation','POST')_p99:11634.3;('/reservation','POST')_avg:9071.2
total_rps:2020.7; ('/recommendations','GET')_rps:794.8;('/recommendations','GET')_p95:11584.9;('/recommendations','GET')_p99:11644.8;('/recommendations','GET')_avg:9184.8; ('/user','POST')_rps:9.0;('/user','POST')_p95:11585.7;('/user','POST')_p99:11667.5;('/user','POST')_avg:9079.6; ('/hotels','GET')_rps:1207.4;('/hotels','GET')_p95:11584.5;('/hotels','GET')_p99:11645.6;('/hotels','GET')_avg:9196.8; ('/reservation','POST')_rps:9.5;('/reservation','POST')_p95:11579.9;('/reservation','POST')_p99:11643.3;('/reservation','POST')_avg:9199.8
total_rps:1992.1; ('/recommendations','GET')_rps:772.8;('/recommendations','GET')_p95:11612.8;('/recommendations','GET')_p99:11654.4;('/recommendations','GET')_avg:9301.1; ('/user','POST')_rps:11.7;('/user','POST')_p95:11609.0;('/user','POST')_p99:11663.7;('/user','POST')_avg:9225.8; ('/hotels','GET')_rps:1197.6;('/hotels','GET')_p95:11610.2;('/hotels','GET')_p99:11657.0;('/hotels','GET')_avg:9313.1; ('/reservation','POST')_rps:10.1;('/reservation','POST')_p95:11593.3;('/reservation','POST')_p99:11644.7;('/reservation','POST')_avg:9321.1
